year,fullName,primaryNationality,Male,Female,typeOfDeath,employedAs,organizations,jobs,coverage,mediums,country,localOrForeign,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened
2018,Abadullah Hananzai,Afghanistan,y,n,Murder,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty",Producer,"Crime,Politics,War","Radio,Internet",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Abdul Manan Arghand,Afghanistan,y,n,Murder,Staff,Kabul News,Broadcast Reporter,"Politics,War",Television,Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Abdul Rahman Ismael Yassin,Syria,y,n,Crossfire,Staff,Hammouriyeh Media Office,"Photographer,Internet Reporter",War,Internet,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Abdullah al-Qadry,Yemen,y,n,Crossfire,Staff,Belqees TV,"Camera Operator,Photographer",War,Television,Yemen,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Ahmed Abu Hussein,Israel and the Occupied Palestinian Territory,y,n,Dangerous Assignment,Staff,"Voice of the People Radio,Bisan News Agency",Photographer,"Human Rights,Politics,War",Internet,Israel and the Occupied Palestinian Territory,Local,n/a,No,n/a,n/a,n/a,n/a
2018,Ali Saleemi,Afghanistan,y,n,Murder,Staff,Mashal TV,"Broadcast Reporter,Camera Operator","Politics,War",Television,Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Ángel Eduardo Gahona,Nicaragua,y,n,Dangerous Assignment,Staff,El Meridiano,"Broadcast Reporter,Internet Reporter,Producer","Business,Crime,Culture,Politics","Television,Internet",Nicaragua,Local,n/a,No,n/a,n/a,n/a,n/a
2018,Bashar al-Attar,Syria,y,n,Crossfire,Staff,Arbin Unified Media Office,Photographer,War,Internet,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
2018,Gerald Fischman,USA,y,n,Murder,Staff,Capital Gazette,"Columnist/Commentator,Editor","Business,Crime,Culture,Politics","Internet,Print",USA,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Ghazi Rasooli,Afghanistan,y,n,Murder,Staff,1TV,Broadcast Reporter,"Crime,Politics,War","Internet,Television",Afghanistan,Local,n/a,n/a,Complete Impunity,No,No,No
2018,Ibrahim al-Munjar,Syria,y,n,Murder,Staff,Sy24,Internet Reporter,"Human Rights,War",Internet,Syria,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Jan Kuciak,Slovakia,y,n,Murder,Staff,Aktuality,Internet Reporter,"Business,Corruption,Crime,Politics",Internet,Slovakia,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Jefferson Pureza Lopes,Brazil,y,n,Murder,Staff,Beira Rio FM,Broadcast Reporter,"Corruption,Crime,Politics",Radio,Brazil,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,John McNamara,USA,y,n,Murder,Staff,Capital Gazette,"Editor,Internet Reporter,Print Reporter",Sports,"Internet,Print",USA,Local,n/a,n/a,Complete Impunity,No,No,Yes
2018,Juan Javier Ortega Reyes,Ecuador,y,n,Murder,Staff,El Comercio,Print Reporter,"Corruption,Crime,Politics,Human Rights",Print,Colombia,Foreign,n/a,n/a,Complete Impunity,Yes,Yes,No
2018,Kamel abu al-Walid,Syria,y,n,Crossfire,Staff,Jarabulus Media Office,Photographer,War,Internet,Syria,Local,No,n/a,n/a,n/a,n/a,n/a
