year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned
2018,Confirmed,Abadullah Hananzai,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,"Radio Azadi,Radio Free Europe/Radio Liberty",Producer,"Crime,Politics,War","Radio,Internet",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Abdul Manan Arghand,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Kabul News,Broadcast Reporter,"Politics,War",Television,Afghanistan,Kandahar,,,Kandahar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Abdul Rahman Ismael Yassin,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Hammouriyeh Media Office,"Photographer,Internet Reporter",War,Internet,Syria,Hammouriyeh,,,Hammouriyeh,eastern Ghouta,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Abdullah al-Qadry,,Yemen,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Belqees TV,"Camera Operator,Photographer",War,Television,Yemen,Qaniyah,,,Qaniyah,Bayda,Local,Political Group,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Ahmed Abu Hussein,,Israel and the Occupied Palestinian Territory,,,Male,,,Journalist,Killed,Dangerous Assignment,Killed,Staff,"Voice of the People Radio,Bisan News Agency",Photographer,"Human Rights,Politics,War",Internet,Israel and the Occupied Palestinian Territory,Jabalia,,,Jabalia,Northern Gaza,Local,Military Officials,Confirmed,,No,,,,,,,,,,,,,
,Confirmed,Ali Saleemi,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Mashal TV,"Broadcast Reporter,Camera Operator","Politics,War",Television,Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Ángel Eduardo Gahona,,Nicaragua,,,Male,https://cpj-photos.s3.amazonaws.com/Angel%20Gahona_Migueliuth%20Sandoval-2018-05-11-1526073358034.jpg,Migueliuth Sandoval,Journalist,Killed,Dangerous Assignment,Killed,Staff,El Meridiano,"Broadcast Reporter,Internet Reporter,Producer","Business,Crime,Culture,Politics","Television,Internet",Nicaragua,Bluefields,,,Bluefields,,Local,"Government Officials,Local Residents",Confirmed,,No,,,,,,,,,,,,,
,Confirmed,Bashar al-Attar,,Syria,,,Male,,,Journalist,Killed,Crossfire,Killed,Staff,Arbin Unified Media Office,Photographer,War,Internet,Syria,Arbin,,,Arbin,eastern Ghouta,Local,Military Officials,Confirmed,No,,,,,,,,,,,,,,
,Confirmed,Gerald Fischman,,USA,,,Male,https://cpj-photos.s3.amazonaws.com/CG_gerald-fis_1-2018-07-02-1530565716075.jpg,Baltimore Sun Media Group,Journalist,Killed,Murder,Killed,Staff,Capital Gazette,"Columnist/Commentator,Editor","Business,Crime,Culture,Politics","Internet,Print",USA,"Annapolis, Maryland",,Maryland,"Annapolis, Maryland",,Local,Local Residents,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Ghazi Rasooli,,Afghanistan,,,Male,,,Journalist,Killed,Murder,Killed,Staff,1TV,Broadcast Reporter,"Crime,Politics,War","Internet,Television",Afghanistan,Kabul,,,Kabul,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,
,Confirmed,Ibrahim al-Munjar,,Syria,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Sy24,Internet Reporter,"Human Rights,War",Internet,Syria,Saida,,,Saida,Daraa,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Ján Kuciak,,Slovakia,,,Male,https://cpj-photos.s3.amazonaws.com/AP-Slovakia-2018-03-02-1520003922512.jpg,AP/Bundas Engler,Journalist,Killed,Murder,Killed,Staff,Aktuality,Internet Reporter,"Business,Corruption,Crime,Politics",Internet,Slovakia,Velká Mača,,,Velká Mača,,Local,"Criminal Group,Government Officials",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,Jefferson Pureza Lopes,,Brazil,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Beira Rio FM,Broadcast Reporter,"Corruption,Crime,Politics",Radio,Brazil,Goiás,,Goiás,,,Local,"Criminal Group,Political Group,Government Officials",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
,Confirmed,John McNamara,,USA,,,Male,https://cpj-photos.s3.amazonaws.com/CG-john-mcnam_1-2018-07-02-1530566141593.jpg,Baltimore Sun Media Group,Journalist,Killed,Murder,Killed,Staff,Capital Gazette,"Editor,Internet Reporter,Print Reporter",Sports,"Internet,Print",USA,"Annapolis, Maryland",,Maryland,"Annapolis, Maryland",,Local,Local Residents,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,
